productId,productName,environment,variantId,sku,size,color
"product-393307261","Just Gina™ Icon | Unisex tee","test","variant-4974991983","68CCD47B7652C_11546","S","Black"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028132","68CEAB997F150_11550","2XL","Black"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028133","68CEAB997F150_12644","3XL","Black"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028134","68CEAB997F150_12645","4XL","Black"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028135","68CEAB997F150_12646","5XL","Black"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028136","68CEAB997F150_11561","S","Navy"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028137","68CEAB997F150_11562","M","Navy"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028138","68CEAB997F150_11563","L","Navy"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028139","68CEAB997F150_11564","XL","Navy"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028140","68CEAB997F150_11565","2XL","Navy"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028141","68CEAB997F150_12653","3XL","Navy"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028142","68CEAB997F150_12668","4XL","Navy"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028143","68CEAB997F150_12669","5XL","Navy"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028144","68CEAB997F150_15873","S","Purple"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028145","68CEAB997F150_15874","M","Purple"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028146","68CEAB997F150_15875","L","Purple"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028147","68CEAB997F150_15876","XL","Purple"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028148","68CEAB997F150_15877","2XL","Purple"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028149","68CEAB997F150_15878","3XL","Purple"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028150","68CEAB997F150_11566","S","Red"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028151","68CEAB997F150_11567","M","Red"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028152","68CEAB997F150_11568","L","Red"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028153","68CEAB997F150_11569","XL","Red"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028154","68CEAB997F150_11570","2XL","Red"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028155","68CEAB997F150_16250","3XL","Red"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028156","68CEAB997F150_16251","4XL","Red"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028157","68CEAB997F150_16252","5XL","Red"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028158","68CEAB997F150_15819","S","Cardinal"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028159","68CEAB997F150_15820","M","Cardinal"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028160","68CEAB997F150_15821","L","Cardinal"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028161","68CEAB997F150_15822","XL","Cardinal"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028162","68CEAB997F150_15823","2XL","Cardinal"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028163","68CEAB997F150_15824","3XL","Cardinal"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028164","68CEAB997F150_21659","S","Sapphire"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028165","68CEAB997F150_21660","M","Sapphire"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028166","68CEAB997F150_21661","L","Sapphire"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028167","68CEAB997F150_21662","XL","Sapphire"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028168","68CEAB997F150_21663","2XL","Sapphire"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028169","68CEAB997F150_21664","3XL","Sapphire"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028170","68CEAB997F150_21665","4XL","Sapphire"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028171","68CEAB997F150_21666","5XL","Sapphire"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028172","68CEAB997F150_15831","S","Charcoal"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028173","68CEAB997F150_15832","M","Charcoal"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028174","68CEAB997F150_15833","L","Charcoal"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028175","68CEAB997F150_15834","XL","Charcoal"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028176","68CEAB997F150_15835","2XL","Charcoal"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028177","68CEAB997F150_15836","3XL","Charcoal"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028178","68CEAB997F150_21699","S","Tropical Blue"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028179","68CEAB997F150_21700","M","Tropical Blue"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028180","68CEAB997F150_21701","L","Tropical Blue"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028181","68CEAB997F150_21702","XL","Tropical Blue"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028182","68CEAB997F150_21703","2XL","Tropical Blue"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028183","68CEAB997F150_21704","3XL","Tropical Blue"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028184","68CEAB997F150_21705","4XL","Tropical Blue"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028185","68CEAB997F150_21706","5XL","Tropical Blue"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028186","68CEAB997F150_15849","S","Gold"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028187","68CEAB997F150_15850","M","Gold"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028188","68CEAB997F150_15851","L","Gold"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028189","68CEAB997F150_15852","XL","Gold"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028190","68CEAB997F150_15853","2XL","Gold"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028191","68CEAB997F150_15854","3XL","Gold"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028192","68CEAB997F150_16285","4XL","Gold"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028193","68CEAB997F150_16286","5XL","Gold"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028194","68CEAB997F150_11576","S","White"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028195","68CEAB997F150_11577","M","White"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028196","68CEAB997F150_11578","L","White"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028197","68CEAB997F150_11579","XL","White"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028198","68CEAB997F150_11580","2XL","White"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028199","68CEAB997F150_12650","3XL","White"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028200","68CEAB997F150_12651","4XL","White"
"product-393467317","Third Railify™ Logo V2 | Unisex classic tee","test","variant-4977028201","68CEAB997F150_12652","5XL","White"
"product-395956084","Third Railify™ Wordmark v2 | Dad hat","test","variant-5010316578","","One size","Black"
"product-395956084","Third Railify™ Wordmark v2 | Dad hat","test","variant-5010316579","","One size","White"
"product-395956084","Third Railify™ Wordmark v2 | Dad hat","test","variant-5011704307","68EE12602E416_12736","One size","Dark Grey"
"product-393219932","Third Railify™ Wordmark | Dad hat","test","variant-4974393098","68CC50080917B_7854","One size","Black"
"product-393219932","Third Railify™ Wordmark | Dad hat","test","variant-4974393099","68CC50080917B_12736","One size","Dark Grey"
"product-393219932","Third Railify™ Wordmark | Dad hat","test","variant-4974393100","68CC50080917B_7853","One size","White"
"product-400235526","Third Railify™ Wordmark | Structured Twill Cap","test","variant-5038041752","690661D715B2A_5278","S/M","Dark Navy"
"product-400235526","Third Railify™ Wordmark | Structured Twill Cap","test","variant-5038041754","690661D715B2A_5279","L/XL","Dark Navy"
